publication,category,language,website,email,phone,fax,address,city,province_state,zip_postal_code,country,subscribe,facebook,twitter,instagram,youtube
Anne Geddes,babies_children_toy_catalogs,,www.annegeddes.com,,,,,,,,,,,,,
Baby Box,babies_children_toy_catalogs,,www.babybox.com,,,,,,,,US,,,,,
BabyBecause,babies_children_toy_catalogs,,www.babybecause.com,,,,,,,,,,,,,
Bedwetting Store,babies_children_toy_catalogs,,www.bedwettingstore.com,,,,,,,,,,,,,
Chasing Fireflies,babies_children_toy_catalogs,,www.chasingfireflies.com,,,,,,,,,,,,,
Clouds and Stars,babies_children_toy_catalogs,,www.cloudsandstars.com,,,,,,,,,,,,,
Company Kids,babies_children_toy_catalogs,,www.thecompanystore.com/defaultkids2.asp,,,,,,,,,,,,,
Constructive Playthings School Catalog,babies_children_toy_catalogs,,www.cptoys.com,,,,,,,,,,,,,
Cradle & All by Sears,babies_children_toy_catalogs,,www.cradleandall.sears.com,,,,,,,,US,,,,,
Detailed Play Systems,babies_children_toy_catalogs,,www.detailedplay.com,,,,,,,,,,,,,
Disney Movie Club,babies_children_toy_catalogs,,www.disneymovieclub.go.com,,,,,,,,US,,,,,
Distinctive Nurseries,babies_children_toy_catalogs,,www.dinstinctivenurseries.com,,,,,,,,,,,,,
Entertainment Earth,babies_children_toy_catalogs,,www.entertainmentearth.com,,,,,,,,,,,,,
Family Travel Gear,babies_children_toy_catalogs,,www.familytravelgear.com,,,,,,,,,,,,,
Growing Up with Garnet Hill,babies_children_toy_catalogs,,www.garnethill.com,,,,,,,,US,,,,,
Highlights for Children,babies_children_toy_catalogs,,www.highlights.com,,,,,,,,,,,,,
Jumpin Jammerz,babies_children_toy_catalogs,,www.jumpinjammerz.com,,,,,,,,,,,,,
Kideo - Personalized DVDs,babies_children_toy_catalogs,,www.kideo.com,,,,,,,,,,,,,
Layla Grayce,babies_children_toy_catalogs,,www.laylegrayce.com,,,,,,,,,,,,,
Leaps and Bounds,babies_children_toy_catalogs,,www.leapsandbounds.com,,,,,,,,,,,,,
Learning Resources,babies_children_toy_catalogs,,www.learningresources.com,,,,,,,,,,,,,
Lime Green,babies_children_toy_catalogs,,www.limegreencatalog.com,,,,,,,,,,,,,
Little Tikes,babies_children_toy_catalogs,,www.littletikes.com,,,,,,,,,,,,,
Maukilo European Toys,babies_children_toy_catalogs,,www.maukilo.com,,,,,,,,US,,,,,
Met Kids,babies_children_toy_catalogs,,www.store.metmuseum.org/metkids/icat/metkids,,,,,,,,,,,,,
Mindware,babies_children_toy_catalogs,,www.mindwareonline.com,,,,,,,,,,,,,
One Step Ahead,babies_children_toy_catalogs,,www.onestepahead.com,,,,,,,,,,,,,
Oompa Toys,babies_children_toy_catalogs,,www.oompa.com,,,,,,,,,,,,,
Oriental Trading Company - Hands on Fun,babies_children_toy_catalogs,,www.orientaltrading.com,,,,,,,,US,,,,,
Personal Creations,babies_children_toy_catalogs,,www.personalcreations.com/for_kids_teens-gifts-3-411.html,,,,,,,,,,,,,
Posh Tots,babies_children_toy_catalogs,,www.poshtots.com,,,,,,,,,,,,,
Puddles Collection,babies_children_toy_catalogs,,www.puddlescollection.com,,,,,,,,US,,,,,
The Retro Baby,babies_children_toy_catalogs,,www.theretrobaby.com,,,,,,,,,,,,,
Young Explorers,babies_children_toy_catalogs,,www.youngecplorers.ca,,,,,,,,Canada,,,,,
AmeriMark,beauty_&_cosmetic_catalogs,,www.amerimark.com,,,,,,,,,,,,,
As We Change,beauty_&_cosmetic_catalogs,,www.aswechange.com,,,,,,,,US,,,,,
Avon (Australia),beauty_&_cosmetic_catalogs,,www.avon.com.au,,,,,,,,Australia,,,,,
Avon (Canada),beauty_&_cosmetic_catalogs,,www.avon.ca,,,,,,,,Canada,,,,,
Avon (France),beauty_&_cosmetic_catalogs,,www.avon.fr,,,,,,,,France,,,,,
Avon (UK),beauty_&_cosmetic_catalogs,,www.avon.uk.com,,,,,,,,UK,,,,,
Avon (US),beauty_&_cosmetic_catalogs,,www.avon.com,,,,,,,,US,,,,,
Beauty Inspiration,beauty_&_cosmetic_catalogs,,www.catalink.com/beauty-inspiration-catalogue/p/002952,,,,,,,,UK,,,,,
Beauty Trends Wigs,beauty_&_cosmetic_catalogs,,www.beautytrends.com,,,,,,,,,,,,,
BeneFIt Cosmetics,beauty_&_cosmetic_catalogs,,www.benefitcosmetics.com,,,,,,,,,,,,,
Bliss Direct,beauty_&_cosmetic_catalogs,,www.blissdirect.co.uk,,,,,,,,UK,,,,,
Bliss World,beauty_&_cosmetic_catalogs,,www.blissworld.com,,,,,,,,,,,,,
Caswell-Massey,beauty_&_cosmetic_catalogs,,www.caswellmassey.com,,8003260500,,,,,,,,,,,
DHC for Beauty and Health,beauty_&_cosmetic_catalogs,,www.dhccare.com,,,,,,,,,,,,,
Especially Yours,beauty_&_cosmetic_catalogs,,www.especiallyyours.com,,,,,,,,,,,,,
ETS Home Tanning Beds,beauty_&_cosmetic_catalogs,,www.etctan.com,,8005539590,,,,,,US,,,,,
folica.com,beauty_&_cosmetic_catalogs,,www.folica.com,,,,,,,,,,,,,
FragranceNet.com,beauty_&_cosmetic_catalogs,,www.fragrancenet.com,,,,,,,,,,,,,
FragranceX.com,beauty_&_cosmetic_catalogs,,www.fragrancex.com,,,,,,,,,,,,,
Garden Botanika,beauty_&_cosmetic_catalogs,,www.gardenbotanika.com,,,,,,,,,,,,,
Gold Medal Hair,beauty_&_cosmetic_catalogs,,www.goldmedalhair.com,,,,,,,,,,,,,
Great Universal,beauty_&_cosmetic_catalogs,,www.greatuniversal.com,,,,,,,,,,,,,
Just for Redheads,beauty_&_cosmetic_catalogs,,www.justforredheads.com,,,,,,,,,,,,,
mySpaShop.com,beauty_&_cosmetic_catalogs,,www.myspashop.com,,,,,,,,,,,,,
Norstar Professional Magnet,beauty_&_cosmetic_catalogs,,www.norstarbiomagnetics.co.uk,,,,,,,,UK,,,,,
Paula Young,beauty_&_cosmetic_catalogs,,www.paulayoung.com,,,,,,,,,,,,,
The Wig Company,beauty_&_cosmetic_catalogs,,www.thewigcompany.com,,,,,,,,US,,,,,
Three Custom Color Specialists,beauty_&_cosmetic_catalogs,,www.threecustom.com,,,,,,,,,,,,,
Willow Beauty Products,beauty_&_cosmetic_catalogs,,www.willowbeautyproducts.co.uk,,,,,,,,UK,,,,,
Wilshire Wigs & Accessories,beauty_&_cosmetic_catalogs,,www.wilshirewigs.com,,,,,,,,,,,,,
Audio Editions Books,book_music_&_movie_catalogs,,www.audioeditions.com,,,,,,,,,,,,,
Book Closeouts,book_music_&_movie_catalogs,,www.bookcloseouts.com,,,,,,,,,,,,,
Booksfree.com,book_music_&_movie_catalogs,,www.booksfree.com,,,,,,,,,,,,,
Crossings,book_music_&_movie_catalogs,,www.crossings.ca,,,,,,,,Canada,,,,,
Disney Movie Club,book_music_&_movie_catalogs,,www.disneymovieclub.go.com,,,,,,,,US,,,,,
Netflix,book_music_&_movie_catalogs,,www.netflix.com,,,,,,,,,,,,,
Nostalgia Family Video,book_music_&_movie_catalogs,,www.nostalgiafamilyvideo.com,,,,,,,,,,,,,
Rediscover Music,book_music_&_movie_catalogs,,www.rediscovermusic.com,,,,,,,,,,,,,
The Literary Guild,book_music_&_movie_catalogs,,www.literaryguild.com,,,,,,,,,,,,,
Travel Video Store,book_music_&_movie_catalogs,,www.travelvideostore.com,,,,,,,,,,,,,
U.S. Chess Federation,book_music_&_movie_catalogs,,www.uscfsales.com,,,,,,,,US,,,,,
AMACO,craft_catalogs,,www.amaco.com,,,,,,,,US,,,,,
Annie's Attic Needlecraft,craft_catalogs,,www.anniesattic.com,,,,,,,,US,,,,,
Canvas On Demand,craft_catalogs,,www.canvasondemand.com,,,,,,,,,,,,,
Clair Murray's Nantucket Needleworks,craft_catalogs,,www.nantucketneedleworks.com,,,,,,,,US,,,,,
Delphi Glass,craft_catalogs,,www.delphiglass.com,,,,,,,,,,,,,
Discount School Supply,craft_catalogs,,www.discountschoolsupply.com,,,,,,,,,,,,,
Ecstasy Crafts,craft_catalogs,,www.ecstasycrafts.com,,,,,,,,,,,,,
Herrschners,craft_catalogs,,www.herrschners.com,,,,,,,,,,,,,
Hobby Builders Supply,craft_catalogs,,www.miniatures.com,,,,,,,,,,,,,
Home Sew,craft_catalogs,,www.homesew.com,,,,,,,,,,,,,
Leisure Arts,craft_catalogs,,www.leisurearts.com,,,,,,,,US,,,,,
Lion Brand Yarn Co.,craft_catalogs,,www.lionbrand.com,,,,,,,,,,,,,
Model Expo,craft_catalogs,,www.modelexpo-online.com,,,,,,,,,,,,,
Mystic Stamp,craft_catalogs,,www.mysticstamp.com,,,,,,,,,,,,,
Nancy's Notions,craft_catalogs,,www.nancysnotions.com,,,,,,,,,,,,,
Oriental Trading Company - Beads,craft_catalogs,,www.orientaltrading.com,,,,,,,,US,,,,,
Oriental Trading Company - Crafts,craft_catalogs,,www.orientaltrading.com,,,,,,,,US,,,,,
Oriental Trading Company - Scrapbooking,craft_catalogs,,www.orientaltrading.com,,,,,,,,US,,,,,
Paper Wishes,craft_catalogs,,www.paperwishes.com,,,,,,,,,,,,,
Penn State Industries,craft_catalogs,,www.pennstateind.com,,,,,,,,US,,,,,
Rockler Woodworking and Hardware,craft_catalogs,,www.rockler.com,,,,,,,,,,,,,
Sewing Machine Parts,craft_catalogs,,www.smscanada.com,,,,,,,,Canada,,,,,
Sunshine Discount Crafts,craft_catalogs,,www.sunshinecrafts.com,,,,,,,,,,,,,
The Airplane Shop,craft_catalogs,,www.airplaneshop.com,,,,,,,,US,,,,,
The Leisure Boutique - Crafts,craft_catalogs,,www.theleisureboutique.com,,,,,,,,US,,,,,
The Stitchery,craft_catalogs,,www.stitchery.com,,,,,,,,,,,,,
Webs - America's Yarn Store,craft_catalogs,,www.yarn.com,,,,,,,,US,,,,,
White's Electronis - Metal Detectors,craft_catalogs,,www.whiteselectronics.com,,,,,,,,US,,,,,
Woodworker's Supply,craft_catalogs,,www.woodworker.com,,,,,,,,US,,,,,
Beverage Retailer,beverage_trade_publications,,www.beverage-retailer.com,,,,,,,,,,,,,
Beverage World,beverage_trade_publications,,www.beverageworld.com,,,,,,,,,,,,,
Drinks Business Review,beverage_trade_publications,,www.drinks-business-review.com,,,,,,,,,,,,,
Tea & Coffee Trade Journal,beverage_trade_publications,,www.teaandcoffee.net,,,,,,,,,,,,,
Bakery Net,food_&_beverage_trade_publications,,www.bakery-net.com,,,,,,,,,,,,,
Bakery Online,food_&_beverage_trade_publications,,www.bakeryonline.com,,,,,,,,,,,,,
Cheese Market News,food_&_beverage_trade_publications,,www.cheesemarketnews.com,,,,,,,,,,,,,
Equipment Solutions Magazine,food_&_beverage_trade_publications,,www.equipsolu.com,,,,,,,,,,,,,
Food Ingredients Online,food_&_beverage_trade_publications,,www.foodingredientsonline.com,,,,,,,,,,,,,
Food Processing Magazine,food_&_beverage_trade_publications,,www.foodprocessing.com,,,,,,,,,,,,,
Food Product Design,food_&_beverage_trade_publications,,www.foodproductdesign.com,,,,,,,,,,,,,
Food Quality Magazine,food_&_beverage_trade_publications,,www.foodquality.com,,,,,,,,,,,,,
Foodesigns.com,food_&_beverage_trade_publications,,www.foodesigns.com,,,,,,,,,,,,,
Functional Foods & Nutraceuticals,food_&_beverage_trade_publications,,www.ffnmag.com,,,,,,,,,,,,,
Kosher Today,food_&_beverage_trade_publications,,www.koshertoday.com,,,,,,,,,,,,,
Produce Industry Info Center,food_&_beverage_trade_publications,,www.rbcs.com,,,,,,,,,,,,,
Produce Reporter Company,food_&_beverage_trade_publications,,www.bluebookprco.com,,,,,,,,,,,,,
The Manufacturing Confectioner,food_&_beverage_trade_publications,,www.gomc.com,,,,,,,,,,,,,
Grocery News,grocery_trade_publications,,www.supermarketnews.com,,,,,,,,,,,,,
Progressive Grocer,grocery_trade_publications,,www.progressivegrocer.com,,,,,,,,,,,,,
Natural Foods Merchandiser,grocery_trade_publications,,www.naturalfoodsmerchandiser.com,,,,,,,,,,,,,
Supermarket Business,grocery_trade_publications,,www.supermarketbusiness.com,,,,,,,,,,,,,
Food Service Central,restaurant_&_food_service_management_publications,,www.foodservicecentral.com,,,,,,,,,,,,,
Foodservice.com,restaurant_&_food_service_management_publications,,www.foodservice.com,,,,,,,,,,,,,
Nation's Restaurant News (NRN),restaurant_&_food_service_management_publications,,www..nrn.com,,,,,,,,,,,,,
On the Rail,restaurant_&_food_service_management_publications,,www.ontherail.com,,,,,,,,,,,,,
QSR Magazine,restaurant_&_food_service_management_publications,,www.qsrmagazine.com,,,,,,,,,,,,,
Restaurant Business,restaurant_&_food_service_management_publications,,www.restaurantbiz.com,,,,,,,,,,,,,
Restaurant Digest,restaurant_&_food_service_management_publications,,www.restaurantdigest.com,,,,,,,,,,,,,
Restaurant Finance Monitor,restaurant_&_food_service_management_publications,,www.restfinance.com,,,,,,,,,,,,,
Restaurant Forum,restaurant_&_food_service_management_publications,,www.restaurantforum.com,,,,,,,,,,,,,
Restaurant Report,restaurant_&_food_service_management_publications,,www.restaurantreport.com,,,,,,,,,,,,,
Restaurant Wine,restaurant_&_food_service_management_publications,,www.restaurantwine.com,,,,,,,,,,,,,
Restaurants & Institutions Magazine,restaurant_&_food_service_management_publications,,www.rimag.com,,,,,,,,,,,,,
Wine Business Online,wine_trade_publications,,www.winebusiness.com,,,,,,,,,,,,,
Wines and Vines,wine_trade_publications,,www.winesandvines.com,,,,,,,,,,,,,
Restaurant Wine,wine_trade_publications,,www.restaurantwine.com,,,,,,,,,,,,,
The Burgundy Report,wine_trade_publications,,www.burgundyreport.com,,,,,,,,,,,,,
South African Wine News,wine_trade_publications,,www.winenews.co.za,,,,,,,,,,,,,
Australian and New Zealand Wine Industry Journal,wine_trade_publications,,www.winetitles.com.au/wij,,,,,,,,Australia,,,,,
Ale Street News,beer_publications,,www.alestreetnews.com,,,,,,,,,,,,,
All About Beer,beer_publications,,www.allaboutbeer.com,,,,,,,,US,,,,,
Amateur Homebrewer Weekly,beer_publications,,www.sublimespot.com/beer,,,,,,,,,,,,,
American Brewer: The Business of Beer,beer_publications,,www.ambrew.com,,,,,,,,US,,,,,
Beer & Brewer,beer_publications,,www.beerandbrewer.com,,,,,,,,Australia,,,,,
Beer Across America,beer_publications,,www.beeramerica.com,,,,,,,,US,,,,,
Beer Advocate,beer_publications,,www.beeradvocate.com,,,,,,,,,,,,,
BEER Magazine,beer_publications,,www.camra.org.uk,,,,,,,,UK,,,,,
Beer Magazine,beer_publications,,www.beermagazine.org,,,,,,,,,,,,,
Beer Passion,beer_publications,,www.beerpassion.com,,,,,,,,,,,,,
Beer Travelers,beer_publications,,www.beertravelers.com,,,,,,,,,,,,,
Beer.com,beer_publications,,www.beer.com,,,,,,,,,,,,,
Bodensatz Brewing,beer_publications,,www.bodensatz.com,,,,,,,,,,,,,
Brauwelt,beer_publications,,www.brauwelt.de,,,,,,,,Germany,,,,,
Brew Your Own Magazine,beer_publications,,www.byo.com/byo,,,,,,,,US,,,,,
Brewing Techniques Magazine,beer_publications,,www.brewingtechniques.com,,,,,,,,,,,,,
Canadian Beer News,beer_publications,,www.canadianbeernews.com,,,,,,,,Canada,,,,,
Celebrator,beer_publications,,www.celebrator.com,,,,,,,,US,,,,,
DRAFT Magazine,beer_publications,,www.draftmag.com,,,,,,,,US,,,,,
Good Beer Guiden to Southwest Germany,beer_publications,,wwww.beerguide.de,,,,,,,,Germany,,,,,
Great Lakes Brewing News,beer_publications,,www.brewingnews.com/greatlakes,,,,,,,,,,,,,
Mid-Atlantic Brew News,beer_publications,,www.brewingnews.com/mid-atlantic,,,,,,,,,,,,,
Midwest Beer Notes,beer_publications,,www.beernotes.com/midwest,,,,,,,,,,,,,
Modern Brewery Age,beer_publications,,www.breweryage.com,,,,,,,,,,,,,
Mutineer,beer_publications,,www.mutineermagazine.com,,,,,,,,,,,,,
Northwest Brew News,beer_publications,,www.brewingnews.com/northwest,,,,,,,,,,,,,
Pacific Brew News,beer_publications,,www.pacificbrewnews.com,,,,,,,,,,,,,
Southern Draft Brew News,beer_publications,,www.realbeer.com/sodraft/sodraft.html,,,,,,,,,,,,,
Stephen Beaumont's World of Beer,beer_publications,,www.worldofbeer.com,,,,,,,,,,,,,
TAPS,beer_publications,,www.tapsmedia.ca,,,,,,,,Canada,,,,,
The Beer Sessions,beer_publications,,www.thebeersessions.com,,,,,,,,US,,,,,
The Brewers Dray,beer_publications,,www.thebrewersdray.com.au,,,,,,,,Australia,,,,,
The Malt Advocate,beer_publications,,www.maltadvocate.com,,,,,,,,,,,,,
The Oregonian's Brew News,beer_publications,,www.oregonlive.com/pdxlife/oregonian/brew_news,,,,,,,,,,,,,
Yankee Brew News,beer_publications,,"www,brewingnews.com/yankeebrew",,,,,,,,,,,,,
Zymurgy,beer_publications,,www.homebrewersassociation.org/pages/zymurgy/current-issue,,,,,,,,,,,,,
Badgett's Coffee eJournal,coffee_&_tea_publications,,www.aboutcoffee.net,,,,,,,,,,,,,
Barista Magazine,coffee_&_tea_publications,,www.baristamagazine.com,,,,,,,,,,,,,
Café Magazine,coffee_&_tea_publications,,www.blackapollo.demon.co.uk,,,,,,,,UK,,,,,
Coffee & Tea Newsletter,coffee_&_tea_publications,,www.coffeeandteanewsletter.com,,,,,,,,,,,,,
Coffee Explorer,coffee_&_tea_publications,,www.coffee-explorer.com,,,,,,,,,,,,,
Coffee Geek,coffee_&_tea_publications,,www.coffeegeek.com,,,,,,,,,,,,,
Coffee Review,coffee_&_tea_publications,,www.coffeereview.com,,,,,,,,,,,,,
Coffee Talk Magazine,coffee_&_tea_publications,,www.coffeetalk.com,,,,,,,,,,,,,
Coffee Universe,coffee_&_tea_publications,,www.coffeeuniverse.com,,,,,,,,,,,,,
Epicure Exchange,coffee_&_tea_publications,,www.epicure.com,,,,,,,,,,,,,
Fresh Cup Magazine,coffee_&_tea_publications,,www.freshcup.com,,,,,,,,,,,,,
Imbibe,coffee_&_tea_publications,,www.imbibemagazine.com,,,,,,,,,,,,,
Koffee Korner,coffee_&_tea_publications,,www.koffeekorner.com,,,,,,,,,,,,,
Q Y Coffee,coffee_&_tea_publications,,www.qycoffee.com,,,,,,,,,,,,,
Russian Coffee and Tea,coffee_&_tea_publications,,www.coffeetea.ru,,,,,,,,Russia,,,,,
Specialty Coffee Retailer,coffee_&_tea_publications,,www.specialtycoffeeretailer.com,,,,,,,,,,,,,
Tea,coffee_&_tea_publications,,www.teamag.com,,,,,,,,,,,,,
Tea & Coffee Asia,coffee_&_tea_publications,,www.teaandcoffeeasia.com,,,,,,,,,,,,,
Tea A Magazine,coffee_&_tea_publications,,www.teamag.com,,,,,,,,,,,,,
Tea and Coffee Trade Journal,coffee_&_tea_publications,,www.teaandcoffee.net,,,,,,,,,,,,,
Tea and Roses,coffee_&_tea_publications,,www.tea-and-roses.com,,,,,,,,,,,,,
Tea Experience Digest,coffee_&_tea_publications,,http://www.teainfusion.com/directory/tea-publications/tea-experience-digest.html,,,,,,,,,,,,,
Tea Finely Brewed,coffee_&_tea_publications,,www.teafinelybrewed.com,,,,,,,,,,,,,
Tea House Times,coffee_&_tea_publications,,www.theteahousetimes.com,,,,,,,,,,,,,
Tea in Texas,coffee_&_tea_publications,,www.teaintexas.com,,,,,,,,US,,,,,
Tea Muse,coffee_&_tea_publications,,www.teamuse.com,,,,,,,,,,,,,
Tea Spirit,coffee_&_tea_publications,,www.teaspirit.com,,,,,,,,,,,,,
TeaTime,coffee_&_tea_publications,,www.teatimemagazine.com,,,,,,,,,,,,,
The Art of Tea,coffee_&_tea_publications,,www.the-art-of-tea.com,,,,,,,,,,,,,
The Coffee Index,coffee_&_tea_publications,,www.thecoffeeindex.com,,,,,,,,,,,,,
The Leaf,coffee_&_tea_publications,,www.the-leaf.org,,,,,,,,,,,,,
The-Color-Of-Tea.com,coffee_&_tea_publications,,www.the-color-of-tea.com,,,,,,,,,,,,,
UK Tea Council,coffee_&_tea_publications,,www.tea.co.uk,,,,,,,,UK,,,,,
Virtual Coffee,coffee_&_tea_publications,,www.virtualcoffee.com,,,,,,,,,,,,,
Art Culinaire,general_food_publications,,www.getartc.com,,,,,,,,,,,,,
Baker Boulanger,general_food_publications,,www.betterbaking.com,,,,,,,,,,,,,
Barbecue & Beverage,general_food_publications,,www.bbqmag.com,,,,,,,,,,,,,
Bartender Magazine,general_food_publications,,www.bartender.com,,,,,,,,,,,,,
BBC Food,general_food_publications,,www.bbc.co.uk/food,,,,,,,,UK,,,,,
Beverage Digest,general_food_publications,,www.beverage-digest.com,,,,,,,,,,,,,
Bon Appetit,general_food_publications,,www.epicurious.com/bonappetit,,,,,,,,,,,,,
Chile Pepper Magazine,general_food_publications,,www.chilepepper.com,,,,,,,,,,,,,
CHOW,general_food_publications,,www.chow.com,,,,,,,,,,,,,
Chowhound,general_food_publications,,www.chowhound.com,,,,,,,,,,,,,
Cooking Light,general_food_publications,,www.cookinglight.com,,,,,,,,,,,,,
Cooking with Paula Deen,general_food_publications,,www.pauladeenmagazine.com,,,,,,,,,,,,,
Cook's Illustrated,general_food_publications,,www.cooksillustrated.com,,,,,,,,,,,,,
Cuisine,general_food_publications,,www.cuisinemagazine.com,,,,,,,,,,,,,
Cuisine at Home,general_food_publications,,www.cuisineathome.com/digital,,,,,,,,,,,,,
Diabetic Gourmet,general_food_publications,,www.diabeticgourmet.com,,,,,,,,,,,,,
EastingWell,general_food_publications,,www.eatingwell.com,,,,,,,,,,,,,
Epicurus Online,general_food_publications,,www.epicurus.com,,,,,,,,,,,,,
Every Day with Rachel Ray,general_food_publications,,www.rachelraymag.com,,,,,,,,,,,,,
Fabulous Foods,general_food_publications,,www.fabulousfoods.com,,,,,,,,,,,,,
FDA Consumer Magazine,general_food_publications,,www.fds.gov/fdac,,,,,,,,,,,,,
Fine Cooking,general_food_publications,,www.taunton.com/fc,,,,,,,,,,,,,
Food & Wine,general_food_publications,,www.foodandwine.com,,,,,,,,,,,,,
Food Australia,general_food_publications,,www.foodaust.com.au,,,,,,,,Australia,,,,,
Gastronomica,general_food_publications,,www.gastronomica.org,,,,,,,,,,,,,
Gourmet Connection,general_food_publications,,www.gourmetconnection.com,,,,,,,,,,,,,
Gourmet Fare Magazine,general_food_publications,,www.gourmetfare.com,,,,,,,,,,,,,
Gourmet Magazine,general_food_publications,,www.epicurious.com/gourmet,,,,,,,,,,,,,
GourmetIndia.com,general_food_publications,,www.gourmetindia.com,,,,,,,,,,,,,
Hungry Magazine,general_food_publications,,www.hungrymag.com,,,,,,,,,,,,,
Imbibe,general_food_publications,,www.imbibemagazine.com,,,,,,,,,,,,,
Intermezzo Magazine,general_food_publications,,www.intermezzomagazine.com,,,,,,,,,,,,,
Internet Chef,general_food_publications,,www.ichef.com,,,,,,,,,,,,,
Internet Epicurean,general_food_publications,,www.epicurean.com,,,,,,,,,,,,,
New York Times: Dining & Wine,general_food_publications,,www.nytimes.com/pages/dining,,,,,,,,,,,,,
Perfect Entertaining,general_food_publications,,www.perfectentertaining.com,,,,,,,,,,,,,
Pizza Marketing Quarterly,general_food_publications,,www.pmq.com,,,,,,,,,,,,,
Sally's Place,general_food_publications,,www.sallys-place.com,,,,,,,,,,,,,
Saveur,general_food_publications,,www.saveur.com,,,,,,,,,,,,,
Serious Eats,general_food_publications,,www.seriouseats.com,,,,,,,,,,,,,
StarChefs,general_food_publications,,www.starchefs.com,,,,,,,,,,,,,
Sugar Journal,general_food_publications,,www.sugarjournal.com,,,,,,,,,,,,,
Sustainable Eating,general_food_publications,,www.semagazine.com,,,,,,,,,,,,,
Taste of Home,general_food_publications,,www.tasteofhome.com,,,,,,,,,,,,,
The Art of Eating,general_food_publications,,www.artofeating.com,,,,,,,,,,,,,
The Blue Ribbon Gazette,general_food_publications,,www.blueribbongazette.com,,,,,,,,,,,,,
The Foody UK and Ireland,general_food_publications,,www.thefoody.com,,,,,,,,,,,,,
The Green Chronicle,general_food_publications,,www.greenchronicle.com,,,,,,,,,,,,,
The Hungover Gourmet,general_food_publications,,www.hungovergourmet.com,,,,,,,,,,,,,
The Repertoire,general_food_publications,,www.therepertoire.com,,,,,,,,,,,,,
Upper Crust,general_food_publications,,www.uppercrustindia.com,,,,,,,,,,,,,
Vegetarian Times,general_food_publications,,www.vegetariantimes.com,,,,,,,,,,,,,
Wellness on the Web,general_food_publications,,www.grahamkerr.com,,,,,,,,,,,,,
Wine and Dine,general_food_publications,,www.winedine.co.uk,,,,,,,,UK,,,,,
Ashington-Pickett Wine Review,wine_publications,,www.thewinereview.com,,,,,,,,,,,,,
Australian and New Zealand Wine Industry Journal,wine_publications,,www.winetitles.com.au/wij,,,,,,,,Australia,,,,,
CorkSavvy,wine_publications,,www.corksavvy.com,,,,,,,,,,,,,
Daily Wine Review,wine_publications,,www.dailywine.com,,,,,,,,,,,,,
Decanter.com,wine_publications,,www.decanter.com,,,,,,,,,,,,,
Food & Wine,wine_publications,,www.foodandwine.com,,,,,,,,,,,,,
In Vino Veritas,wine_publications,,www.world.std.com/~jalsop/ivv.html,,,,,,,,,,,,,
Janics Robinson,wine_publications,,www.janicsrobinson.com,,,,,,,,,,,,,
Onwine,wine_publications,,www.onwine.cc,,,,,,,,,,,,,
Practical Winery & Vineyard Magazine,wine_publications,,www.practicalwinery.com,,,,,,,,,,,,,
Robert Parker Online,wine_publications,,www.erobertparker.com,,,,,,,,,,,,,
San Berger's Vintage Experiences,wine_publications,,www.vintageexperiences.com,,,,,,,,,,,,,
The Wine News,wine_publications,,www.thewinenews.com,,,,,,,,,,,,,
The Wine Skinny,wine_publications,,www.wineskinny.com,,,,,,,,,,,,,
Tom Cannavan's Wine Pages,wine_publications,,www.wine-pages.com,,,,,,,,,,,,,
Uncorked Magazine,wine_publications,,www.uncorkedmagazine.com,,,,,,,,,,,,,
Vines Magazine,wine_publications,,www.vinesmag.com,,,,,,,,,,,,,
Whitley On Wine,wine_publications,,www.whitleyonwine.com,,,,,,,,,,,,,
Wine Enthusiast Magazine,wine_publications,,www.winemag.com,,,,,,,,,,,,,
Wine Press Northwest,wine_publications,,www.winepressnw.com,,,,,,,,,,,,,
Wine Spectator,wine_publications,,www.winespectator.com,,,,,,,,,,,,,
Wine X,wine_publications,,www.winexwired.com,,,,,,,,,,,,,
WINEmag.co.za,wine_publications,,www.winemag.co.za,,,,,,,,,,,,,
Wines and Vines,wine_publications,,www.winesandvines.com,,,,,,,,,,,,,
Winestate,wine_publications,,www.winestate.com.au,,,,,,,,,,,,,
2 (Gay & Lesbian),adult_publications,,www.2-mag.com,,,,,,,,,,,,,
Andrei,adult_publications,,www.andrei.ru,,,,,,,,,,,,,
Barely Legal,adult_publications,,www.barelylegal.com,,,,,,,,,,,,,
Beach Bunny,adult_publications,,www.beachbunny.com,,,,,,,,,,,,,
Bi,adult_publications,,www.bicommunitynews.co.uk,,,,,,,,UK,,,,,
Big Black Butt,adult_publications,,www.tailends.com,,,,,,,,,,,,,
Big Butt,adult_publications,,www.bugbuttmag.com,,,,,,,,,,,,,
Bizarre,adult_publications,,www.bizarremag.com,,,,,,,,,,,,,
Black Beauties,adult_publications,,www.blackbeauties.com,,,,,,,,,,,,,
Black Tail,adult_publications,,www.blacktailmag.com,,,,,,,,,,,,,
Blue,adult_publications,,www.studiomagazines.com,,,,,,,,,,,,,
Bound & Gagged (Gay),adult_publications,,www.boundandgagged.com,,,,,,,,,,,,,
Box Magazine,adult_publications,,www.box-mag.com,,,,,,,,,,,,,
Busty Beauties,adult_publications,,n/a,,,,,,,,,,,,,
Buttman,adult_publications,,www.buttmanmagazine.com,,,,,,,,,,,,,
Celebrity Skin,adult_publications,,n/a,,,,,,,,,,,,,
Celebrity Sleuth,adult_publications,,www.celebritysleuth.com,,,,,,,,,,,,,
